"","date","state","fips","cases","deaths","state_pop","cases_per_capita","seven_day_avg","seven_day_avg_percapita"
"59",2020-02-06,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"60",2020-02-06,"California",6,6,0,39512223,1.5185174471201e-07,5.14285714285714,1.3015863832458e-07
"61",2020-02-06,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"62",2020-02-06,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,NA,NA
"63",2020-02-06,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"64",2020-02-06,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,NA,NA
"65",2020-02-07,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"66",2020-02-07,"California",6,6,0,39512223,1.5185174471201e-07,5.57142857142857,1.41005191518295e-07
"67",2020-02-07,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"68",2020-02-07,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"69",2020-02-07,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"70",2020-02-07,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,NA,NA
"71",2020-02-08,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"72",2020-02-08,"California",6,6,0,39512223,1.5185174471201e-07,6,1.5185174471201e-07
"73",2020-02-08,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"74",2020-02-08,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"75",2020-02-08,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"76",2020-02-08,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,NA,NA
"77",2020-02-09,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"78",2020-02-09,"California",6,6,0,39512223,1.5185174471201e-07,6,1.5185174471201e-07
